,timezone,updatedAt,Risk.grass_pollen,Risk.tree_pollen,Risk.weed_pollen,Count.grass_pollen,Count.tree_pollen,Count.weed_pollen,time
0,Asia/Bahrain,2024-09-22T14:00:00.000Z,Low,Low,Low,0,0,3,
1,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,8,1727017200.0
2,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,4,1727020800.0
3,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,0,1727024400.0
4,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,6,1727028000.0
5,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,0,1727031600.0
6,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,12,1727035200.0
7,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,9,1727038800.0
8,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Moderate,0,0,24,1727042400.0
9,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,19,1727046000.0
10,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,3,1727049600.0
11,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,6,1727053200.0
12,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,7,1727056800.0
13,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,6,1727060400.0
14,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,0,1727064000.0
15,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,9,1727067600.0
16,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,4,1727071200.0
17,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,3,1727074800.0
18,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,5,1727078400.0
19,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,0,1727082000.0
20,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,6,1727085600.0
21,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,0,1727089200.0
22,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,8,1727092800.0
23,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,1,1727096400.0
24,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,3,1727100000.0
25,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,7,1727103600.0
26,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,2,1727107200.0
27,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,7,1727110800.0
28,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,0,1727114400.0
29,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,10,1727118000.0
30,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,9,1727121600.0
31,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,4,1727125200.0
32,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,5,1727128800.0
33,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,8,1727132400.0
34,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,4,1727136000.0
35,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,0,1727139600.0
36,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,5,1727143200.0
37,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,0,1727146800.0
38,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,8,1727150400.0
39,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,2,1727154000.0
40,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,1,1727157600.0
41,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,2,1727161200.0
42,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,0,1727164800.0
43,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,4,1727168400.0
44,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,0,1727172000.0
45,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,7,1727175600.0
46,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,1,1727179200.0
47,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,1,1727182800.0
48,Asia/Bahrain,2024-09-22 02:00:00,Low,Low,Low,0,0,3,1727186400.0
